,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
filia,6,0.39473684210526316,secedo/1,4,0.11617775196049956,nomen,4,0.15791551519936833,gero,5,0.19305019305019305,ecclesia,5,0.3424657534246575,observo,4,0.13136288998357964,devenio,5,0.17806267806267806,recipio,4,0.3574620196604111,ibi,4,0.14265335235378032,pars,5,0.41528239202657813
virgo,6,0.39473684210526316,coepio,4,0.11617775196049956,longvs,4,0.15791551519936833,filivs,5,0.19305019305019305,venio,5,0.3424657534246575,conspicio,4,0.13136288998357964,prior,4,0.14245014245014245,lvcidvs,4,0.3574620196604111,vita,4,0.14265335235378032,fidelis/2,5,0.41528239202657813
villa,6,0.39473684210526316,religio,4,0.11617775196049956,ivxta/1,4,0.15791551519936833,perficio,5,0.19305019305019305,certvs,5,0.3424657534246575,diligo/3,4,0.13136288998357964,venio,4,0.14245014245014245,vter/4,4,0.3574620196604111,frater,4,0.14265335235378032,mens,5,0.41528239202657813
perimo,6,0.39473684210526316,praedico/3,4,0.11617775196049956,recipio,4,0.15791551519936833,manvs/1,5,0.19305019305019305,terra,5,0.3424657534246575,observatio,4,0.13136288998357964,ibi,4,0.14245014245014245,adhvc,4,0.3574620196604111,fidelis/2,4,0.14265335235378032,sicvt/1,5,0.41528239202657813
prior,5,0.3289473684210526,animvs,4,0.11617775196049956,advenio,4,0.15791551519936833,christvs/n,4,0.15444015444015444,primvs,5,0.3424657534246575,abbatissa,4,0.13136288998357964,pars,4,0.14245014245014245,svmmvs,4,0.3574620196604111,nvllvs,4,0.14265335235378032,liber/1,5,0.41528239202657813
refero,5,0.3289473684210526,baptizo,4,0.11617775196049956,respondeo,4,0.15791551519936833,vervs,4,0.15444015444015444,intro/1,5,0.3424657534246575,sollemnis,4,0.13136288998357964,scio,4,0.14245014245014245,contingo/1,4,0.3574620196604111,soleo,4,0.14265335235378032,annvs,5,0.41528239202657813
venerabilis,5,0.3289473684210526,converto,4,0.11617775196049956,inqvio,4,0.15791551519936833,religiosvs,4,0.15444015444015444,convenio,5,0.3424657534246575,presbyter,3,0.09852216748768472,infirmitas,4,0.14245014245014245,sedes,4,0.3574620196604111,fero,4,0.14265335235378032,dominicvs,5,0.41528239202657813
nordanhymbri/n,5,0.3289473684210526,lectio,4,0.11617775196049956,volo/3,4,0.15791551519936833,pivs,4,0.15444015444015444,doctor,5,0.3424657534246575,gens,3,0.09852216748768472,nobilis/2,4,0.14245014245014245,respondeo,4,0.3574620196604111,rarvs,4,0.14265335235378032,apostolvs,5,0.41528239202657813
monasterivm,5,0.3289473684210526,loqvor,4,0.11617775196049956,hodie,4,0.15791551519936833,abba,4,0.15444015444015444,idolvm,5,0.3424657534246575,lego/2,3,0.09852216748768472,propter/2,4,0.14245014245014245,coepio,4,0.3574620196604111,oratio,4,0.14265335235378032,saecvlvm,5,0.41528239202657813
habeo,5,0.3289473684210526,filivs,4,0.11617775196049956,egredior,4,0.15791551519936833,memoria,4,0.15444015444015444,intelligo,5,0.3424657534246575,probo,3,0.09852216748768472,tres,4,0.14245014245014245,servo,4,0.3574620196604111,ieivnivm,4,0.14265335235378032,presbyter,4,0.33222591362126247
vnde/1,5,0.3289473684210526,ivdicivm,4,0.11617775196049956,vocabvlvm,4,0.15791551519936833,praesens,4,0.15444015444015444,rogo,5,0.3424657534246575,dignvs,3,0.09852216748768472,ibidem,4,0.14245014245014245,popvlvs/1,4,0.3574620196604111,defvngor,4,0.14265335235378032,nvper,4,0.33222591362126247
habito,5,0.3289473684210526,eo/1,4,0.11617775196049956,virtvs,4,0.15791551519936833,vita,4,0.15444015444015444,ocvlvs,5,0.3424657534246575,discipvlvs,3,0.09852216748768472,appropinqvo,4,0.14245014245014245,dominvs,4,0.3574620196604111,ordino,4,0.14265335235378032,nvnc,4,0.33222591362126247
servo,5,0.3289473684210526,ivvenis/2,4,0.11617775196049956,animvs,4,0.15791551519936833,corpvs,4,0.15444015444015444,praedicatio,5,0.3424657534246575,invenio,3,0.09852216748768472,consvo,4,0.14245014245014245,maneo,4,0.3574620196604111,loqvor,4,0.14265335235378032,sedvlvs,4,0.33222591362126247
